Name,Level,Logo URL,Slug,Categories,Website,Chair,TAC Representative,Documentation,Calendar,Artwork,iCal,LFX Insights URL,Accepted Date,Last Review Date,Next Review Date,Slack URL,Chat Channel,Mailing List,Github Org,Best Practices Badge ID,Primary Github Repo,Contributed By
ASWF Language Interop Project,working-group,https://landscape.aswf.io/logos/803e21319d55195829c27a3bc448d43e8f14dbcf544e4d44418299df3a3cca61.svg,aswf-language-interop-project,"ASWF Projects / Working Group,Math and Simulation / Math Foundations",https://github.com/vfx-rs,Scott Wilson,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/aswf-language-interop-project,https://artwork.aswf.io/projects/aswf-language-interop-project/,https://webcal.prod.itx.linuxfoundation.org/lfx/lfv8NMKI8tcp96N5tb,,2023-10-20,,2025-06-25,https://slack.aswf.io,#rust,https://lists.aswf.io/g/wg-rust,,,,Scott Wilson
Continuous Integration Working Group,working-group,https://landscape.aswf.io/logos/551976f142f56162e879f743a790a15b626c0093abd4fc38beabb1b2eec37704.svg,aswf-continuous-integration-wg,ASWF Projects / Working Group,https://wiki.aswf.io/display/CIWG,Jean-Francois Panisset,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/aswf-continuous-integration-wg,https://artwork.aswf.io/projects/aswf-continuous-integration-wg/,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001KWjDLQA1,,2018-11-01,,2025-05-28,https://slack.aswf.io,#wg-ci,https://lists.aswf.io/g/tac,,,,Academy Software Foundation
Digital Production Example Library (DPEL),graduated,https://landscape.aswf.io/logos/8116b0584851ca34a6f6f4e0f5cb8b57c1ff9edc48d24aa4ecaf0292f83af834.svg,dpel,"ASWF Projects / Adopted,Imaging and Color / Display and Review",https://wiki.aswf.io/display/DPEL/DPEL+Wiki,Matthew Low,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/dpel,https://artwork.aswf.io/projects/dpel/,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001Lk6x8QAB,,2021-09-02,,2025-09-17,https://slack.aswf.io,#assets,https://lists.aswf.io/g/assets-discussion,,,,Academy Software Foundation
Diversity & Inclusion Working Group,working-group,https://landscape.aswf.io/logos/534095618253410bd5a073dd2f57ff534f134391377fffc4bdf7e456a2b1d59a.svg,aswf-diversity-inclusion-wg,ASWF Projects / Working Group,https://lists.aswf.io/g/diversity,"Carol Payne, Rachel Rose",,,https://zoom-lfx.platform.linuxfoundation.org/meetings/aswf-diversity-inclusion-wg,https://artwork.aswf.io/projects/aswf-diversity-inclusion-wg/,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001KWjDZQA1,,2020-06-11,,2026-01-07,https://slack.aswf.io,#diversity,https://lists.aswf.io/g/diversity,,,,Academy Software Foundation
MaterialX,graduated,https://landscape.aswf.io/logos/6384cedf043a16700fd1d1ef098d2346f1a6b530b96ab61018472be74a4d4d99.svg,materialx,"ASWF Projects / Adopted,Rendering and Queueing / Rendering, Lighting, and Lookdev,Dev Days 2024 / Participating Project",https://www.materialx.org/,Jonathan Stone,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/materialx,https://artwork.aswf.io/projects/materialx/,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001KWrdoQAD,,2021-04-21,,2026-02-04,https://slack.aswf.io,#materialx,https://lists.aswf.io/g/materialx-discussion,,,,Lucasfilm
Open Review Initiative,sandbox,https://landscape.aswf.io/logos/a14b875c56531b85fb22437520889952f89b53468fe2c0d774ff0bd0c367c47a.svg,open-review-initiative,"ASWF Projects / Sandbox,Imaging and Color / Display and Review",https://openreviewinitiative.org/,Erik Strauss,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/open-review-initiative,https://artwork.aswf.io/projects/open-review-initiative/,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001L1EL3QAN,,2022-09-07,,2025-08-20,https://slack.aswf.io,#open-review-initiative,https://lists.aswf.io/g/open-review-initiative-discussion,,,,Academy Software Foundation
Open Shading Language,incubating,https://landscape.aswf.io/logos/55cf37082b62d72c7aecb7998f243e6dfafb9ca6e3f5cadcee7dae0ee3b05206.svg,open-shading-language,"ASWF Projects / Incubating,Rendering and Queueing / Rendering, Lighting, and Lookdev,Dev Days 2024 / Participating Project",https://opensource.imageworks.com/osl.html,Chris Kulla,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/open-shading-language,https://artwork.aswf.io/projects/open-shading-language/,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001IkWtEQAV,,2020-12-11,,2025-10-29,https://slack.aswf.io,#openshadinglanguage,https://lists.aswf.io/g/osl-dev,,,,Sony Pictures Imageworks
OpenAPV,sandbox,https://landscape.aswf.io/logos/fa9baca346dd2d05c5c4deb560e2abac307f0d9a93e270808917e0eb14a3fb7e.svg,openapv,"ASWF Projects / Sandbox,Imaging and Color / Image Formats, I/O, and Processing Libraries",https://openapv.io/,Youngkwon Lim,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/openapv,https://artwork.aswf.io/projects/openapv/,https://webcal.prod.itx.linuxfoundation.org/lfx/lfGqZxGXF1gkJmn1Un,,2024-09-26,,2025-10-15,,,,,,,
OpenAssetIO,sandbox,https://landscape.aswf.io/logos/b41870bba31fa2d4d807c2d0b94bc39391f07a0061e58f6183f6a23026f05e8c.svg,openassetio,"ASWF Projects / Sandbox,Assets and Workflow / Pipelines and Frameworks",https://openassetio.org/,David Feltell,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/openassetio,https://artwork.aswf.io/projects/openassetio/,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001L17vCQAR,,2022-11-01,,2025-08-20,https://slack.aswf.io,#openassetio,https://lists.aswf.io/g/openassetio-discussion,,,,Foundry
OpenColorIO,graduated,https://landscape.aswf.io/logos/2d4849a9c8ebf6d6e9e1096d191e88739c4abd47754620e7a1c5244ebe14aa05.svg,opencolorio,"ASWF Projects / Adopted,Imaging and Color / Color Science,Dev Days 2024 / Participating Project",https://opencolorio.org/,Carol Payne,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/opencolorio,https://artwork.aswf.io/projects/opencolorio/,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001If9v8QAB,,2020-04-24,,2025-03-19,https://slack.opencolorio.org,,https://lists.aswf.io/g/ocio-user,,,,Sony Pictures Imageworks
OpenCue,graduated,https://landscape.aswf.io/logos/294b91863d25fcb0a9ba0ae66f2175c779d37c4ebfcfab8a571f730ff2243c17.svg,opencue,"ASWF Projects / Adopted,Rendering and Queueing / Queueing and Render Management",https://opencue.io/,Diego Tavares Da Silva,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/opencue,https://artwork.aswf.io/projects/opencue/,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001IV3znQAD,,2020-04-24,,2025-05-28,https://slack.aswf.io,#opencue,https://lists.aswf.io/g/opencue-user,,,,Sony Pictures Imageworks and Google Cloud
OpenEXR,graduated,https://landscape.aswf.io/logos/91f168e585f3f5f16c79eb60b1e658d6cfdea17dfa1529eba6aabdff689d9f93.svg,openexr,"ASWF Projects / Adopted,Imaging and Color / Image Formats, I/O, and Processing Libraries,Dev Days 2024 / Participating Project",https://www.openexr.com/,Cary Phillips,,,https://zoom-lfx.platform.linuxfoundation.org/meetings/openexr,https://artwork.aswf.io/projects/openexr/,https://webcal.prod.itx.linuxfoundation.org/lfx/a092M00001If9ujQAB,,2020-04-24,,2025-04-16,https://slack.aswf.io,#openexr,https://lists.aswf.io/g/openexr-dev,,,,Lucasfilm
